pozisyon,sirket,sehir,aciklama,gereksinimler
Makine Öğrenmesi Uzmanı,KodaYazılım,İzmir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Frontend Developer,Mobilify,Bursa,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Problem çözme becerisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,Techsoft,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,KodaYazılım,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Frontend Developer,Mobilify,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Problem çözme becerisi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Python Geliştiricisi,DeepAI,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,VeriPlus,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Makine Öğrenmesi Uzmanı,KodaYazılım,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,BüyükVeri Ltd.,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,KodaYazılım,Antalya,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Veri Analisti,Mobilify,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,Techsoft,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Frontend Developer,KodaYazılım,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,DeepAI,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Python Geliştiricisi,KodaYazılım,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,WebZone,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Python Geliştiricisi,KodaYazılım,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe"
Web Geliştirici,VeriPlus,Gaziantep,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,KodaYazılım,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Python Geliştiricisi,KodaYazılım,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,Mobilify,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Makine Öğrenmesi Uzmanı,VeriPlus,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,BüyükVeri Ltd.,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Problem çözme becerisi"
Mobil Uygulama Geliştiricisi,WebZone,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,KodaYazılım,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,DeepAI,Ankara,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Veri Mühendisi,DeepAI,Antalya,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,VeriPlus,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,Mobilify,Gaziantep,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,BüyükVeri Ltd.,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Veri Mühendisi,Mobilify,Ankara,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Frontend Developer,Techsoft,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,DataTech,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,KodaYazılım,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Java Yazılım Mühendisi,KodaYazılım,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Web Geliştirici,DeepAI,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Analitik düşünme yeteneği"
Veri Mühendisi,BüyükVeri Ltd.,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,DataTech,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Java Yazılım Mühendisi,WebZone,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Frontend Developer,Techsoft,Gaziantep,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Veri Mühendisi,KodaYazılım,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,DataTech,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Frontend Developer,VeriPlus,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Java Yazılım Mühendisi,VeriPlus,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Veri Mühendisi,Techsoft,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi"
Web Geliştirici,KodaYazılım,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi"
Frontend Developer,DataTech,Gaziantep,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,Mobilify,Ankara,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Veri Mühendisi,Techsoft,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,BüyükVeri Ltd.,İstanbul,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Veri Mühendisi,BüyükVeri Ltd.,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Python Geliştiricisi,DataTech,Ankara,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Veri Analisti,WebZone,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Java Yazılım Mühendisi,DataTech,İzmir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,DeepAI,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,VeriPlus,Eskişehir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,Techsoft,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Python Geliştiricisi,VeriPlus,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,VeriPlus,Bursa,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Web Geliştirici,Techsoft,Bursa,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Frontend Developer,WebZone,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,Mobilify,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Python Geliştiricisi,KodaYazılım,Bursa,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,Mobilify,Kocaeli,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,KodaYazılım,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Python Geliştiricisi,Mobilify,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Problem çözme becerisi, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Mobil Uygulama Geliştiricisi,Mobilify,Bursa,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,BüyükVeri Ltd.,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Python Geliştiricisi,BüyükVeri Ltd.,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Analitik düşünme yeteneği"
Frontend Developer,DataTech,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,VeriPlus,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,Mobilify,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Makine Öğrenmesi Uzmanı,DeepAI,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,WebZone,Ankara,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Frontend Developer,VeriPlus,Ankara,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Frontend Developer,DataTech,İzmir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Veri Mühendisi,DeepAI,Bursa,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Problem çözme becerisi, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,DeepAI,Eskişehir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,KodaYazılım,Gaziantep,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Mobil Uygulama Geliştiricisi,Mobilify,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık"
Frontend Developer,Techsoft,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Frontend Developer,BüyükVeri Ltd.,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Veri Analisti,DataTech,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Java Yazılım Mühendisi,KodaYazılım,Gaziantep,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Makine Öğrenmesi Uzmanı,DeepAI,Ankara,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
